#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,B3-1-50Kmin-PtY2O3.ngb-dd9    
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,B3                            
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,DSC                           
#INSTRUMENT:                 ,NETZSCH DSC 404F3             
#PROJECT:                    ,NRL-Ti                        
#DATE/TIME:                  ,7/10/2020 9:52:54 AM (UTC-4)  
#CORR. FILE:                 ,Correction-PtRh+Y2O3-3.ngb-bd9
#TEMPCAL:                    ,TCALZERO.TMX                  
#SENSITIVITY:                ,SENSZERO.EXX                  
#LABORATORY:                 ,Short Lab                     
#OPERATOR:                   ,CH                            
#REMARK:                     ,                              
#SAMPLE:                     ,PtRh+Y2O3                     
#SAMPLE MASS /mg:            ,73.5                          
#MATERIAL:                   ,NA                            
#REFERENCE:                  ,PtRh+Y2O3                     
#REFERENCE MASS /mg:         ,0                             
#TYPE OF CRUCIBLE:           ,DSC/TG pan Pt-Rh              
#SAMPLE CRUCIBLE MASS /mg:   ,427.8                         
#REFERENCE CRUCIBLE MASS /mg:,461.4                         
#PROTECTIVE GAS:             ,ARGON                         
#FLOW RATE /(ml/min):        ,50                            
#PURGE GAS 1:                ,<no gas>                      
#FLOW RATE 1:                ,                              
#PURGE GAS 2:                ,ARGON                         
#FLOW RATE 2 /(ml/min):      ,50                            
#M.RANGE /µV:                ,5000                          
#TAU-R:                      ,---                           
#CORR. CODE:                 ,020                           
#EXO:                        ,+1                            
#RANGE:                      ,20°C/50.0(K/min)/1000°C       
#SEGMENT:                    ,S22/24                        
#SEG. 22:                    ,20°C/50.0(K/min)/1000°C       

##Temp./°C,Time/min,DSC/(uV/mg),Sensit./(uV/mW)
 39.66000,577.82083, 7.934572e-002,1.00000
 39.65300,577.82417, 7.933534e-002,1.00000
 39.65000,577.82750, 7.932496e-002,1.00000
 39.64600,577.83083, 7.928344e-002,1.00000
 39.64200,577.83417, 7.925229e-002,1.00000
 39.63800,577.83750, 7.926268e-002,1.00000
 39.63300,577.84083, 7.927306e-002,1.00000
 39.63000,577.84417, 7.928344e-002,1.00000
 39.62600,577.84750, 7.927306e-002,1.00000
 39.62200,577.85083, 7.925229e-002,1.00000
 39.61300,577.85417, 7.916925e-002,1.00000
 39.61100,577.85750, 7.910697e-002,1.00000
 39.60700,577.86083, 7.906545e-002,1.00000
 39.60200,577.86417, 7.904469e-002,1.00000
 39.59700,577.86750, 7.904469e-002,1.00000
 39.59300,577.87083, 7.902393e-002,1.00000
 39.59100,577.87417, 7.899279e-002,1.00000
 39.58400,577.87750, 7.896165e-002,1.00000
 39.58000,577.88083, 7.895127e-002,1.00000
 39.57700,577.88417, 7.894089e-002,1.00000
 39.57300,577.88750, 7.893051e-002,1.00000
 39.56900,577.89083, 7.890975e-002,1.00000
 39.56500,577.89417, 7.889937e-002,1.00000
 39.56000,577.89750, 7.888899e-002,1.00000
 39.55500,577.90083, 7.889937e-002,1.00000
 39.54900,577.90417, 7.888899e-002,1.00000
 39.54700,577.90750, 7.887861e-002,1.00000
 39.54100,577.91083, 7.884747e-002,1.00000
 39.53500,577.91417, 7.883709e-002,1.00000
 39.53300,577.91750, 7.883709e-002,1.00000
 39.52700,577.92083, 7.882671e-002,1.00000
 39.52800,577.92417, 7.882671e-002,1.00000
 39.52000,577.92750, 7.879557e-002,1.00000
 39.51700,577.93083, 7.872291e-002,1.00000
 39.51200,577.93417, 7.870215e-002,1.00000
 39.51000,577.93750, 7.868139e-002,1.00000
 39.50300,577.94083, 7.863987e-002,1.00000
 39.50200,577.94417, 7.859835e-002,1.00000
 39.49800,577.94750, 7.857759e-002,1.00000
 39.49500,577.95083, 7.856721e-002,1.00000
 39.49100,577.95417, 7.853607e-002,1.00000
 39.48600,577.95750, 7.848417e-002,1.00000
 39.48100,577.96083, 7.845303e-002,1.00000
 39.47800,577.96417, 7.841151e-002,1.00000
 39.47200,577.96750, 7.836999e-002,1.00000
 39.47000,577.97083, 7.832847e-002,1.00000
 39.46500,577.97417, 7.828695e-002,1.00000
 39.46200,577.97750, 7.825581e-002,1.00000
 39.45700,577.98083, 7.826619e-002,1.00000
 39.45600,577.98417, 7.824543e-002,1.00000
 39.45200,577.98750, 7.816239e-002,1.00000
 39.44800,577.99083, 7.812087e-002,1.00000
 39.44200,577.99417, 7.810011e-002,1.00000
 39.44100,577.99750, 7.810011e-002,1.00000
 39.43700,578.00083, 7.808973e-002,1.00000
 39.43600,578.00417, 7.808973e-002,1.00000
 39.43000,578.00750, 7.810011e-002,1.00000
 39.42600,578.01083, 7.805859e-002,1.00000
 39.42400,578.01417, 7.800669e-002,1.00000
 39.42000,578.01750, 7.797555e-002,1.00000
 39.41700,578.02083, 7.792364e-002,1.00000
 39.41600,578.02417, 7.789250e-002,1.00000
