#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,C3-1-50Kmin-PtY2O3.ngb-dd9    
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,C3                            
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,DSC                           
#INSTRUMENT:                 ,NETZSCH DSC 404F3             
#PROJECT:                    ,NRL-Ti                        
#DATE/TIME:                  ,6/19/2020 10:29:37 AM (UTC-4) 
#CORR. FILE:                 ,Correction-PtRh+Y2O3-2.ngb-bd9
#TEMPCAL:                    ,TCALZERO.TMX                  
#SENSITIVITY:                ,SENSZERO.EXX                  
#LABORATORY:                 ,Short Lab                     
#OPERATOR:                   ,CH                            
#REMARK:                     ,                              
#SAMPLE:                     ,PtRh+Y2O3                     
#SAMPLE MASS /mg:            ,54.0                          
#MATERIAL:                   ,NA                            
#REFERENCE:                  ,PtRh+Y2O3                     
#REFERENCE MASS /mg:         ,0                             
#TYPE OF CRUCIBLE:           ,DSC/TG pan Pt-Rh              
#SAMPLE CRUCIBLE MASS /mg:   ,427.2                         
#REFERENCE CRUCIBLE MASS /mg:,440.2                         
#PROTECTIVE GAS:             ,ARGON                         
#FLOW RATE /(ml/min):        ,50                            
#PURGE GAS 1:                ,<no gas>                      
#FLOW RATE 1:                ,                              
#PURGE GAS 2:                ,ARGON                         
#FLOW RATE 2 /(ml/min):      ,50                            
#M.RANGE /µV:                ,5000                          
#TAU-R:                      ,---                           
#CORR. CODE:                 ,020                           
#EXO:                        ,+1                            
#RANGE:                      ,20°C/50.0(K/min)/1000°C       
#SEGMENT:                    ,S22/24                        
#SEG. 22:                    ,20°C/50.0(K/min)/1000°C       

##Temp./°C,Time/min,DSC/(uV/mg),Sensit./(uV/mW)
 38.64700,577.74083, 3.481265e-002,1.00000
 38.64100,577.74417, 3.479852e-002,1.00000
 38.63700,577.74750, 3.481265e-002,1.00000
 38.63500,577.75083, 3.482678e-002,1.00000
 38.63100,577.75417, 3.479852e-002,1.00000
 38.62500,577.75750, 3.469963e-002,1.00000
 38.62100,577.76083, 3.461485e-002,1.00000
 38.61700,577.76417, 3.457247e-002,1.00000
 38.61500,577.76750, 3.457247e-002,1.00000
 38.60900,577.77083, 3.457247e-002,1.00000
 38.60400,577.77417, 3.460073e-002,1.00000
 38.60200,577.77750, 3.462898e-002,1.00000
 38.59800,577.78083, 3.464311e-002,1.00000
 38.59200,577.78417, 3.465724e-002,1.00000
 38.58600,577.78750, 3.468550e-002,1.00000
 38.58100,577.79083, 3.469963e-002,1.00000
 38.57900,577.79417, 3.469963e-002,1.00000
 38.57600,577.79750, 3.465724e-002,1.00000
 38.57000,577.80083, 3.465724e-002,1.00000
 38.56500,577.80417, 3.464311e-002,1.00000
 38.56100,577.80750, 3.465724e-002,1.00000
 38.55900,577.81083, 3.467137e-002,1.00000
 38.55400,577.81417, 3.467137e-002,1.00000
 38.54900,577.81750, 3.462898e-002,1.00000
 38.54500,577.82083, 3.458660e-002,1.00000
 38.54300,577.82417, 3.462898e-002,1.00000
 38.53800,577.82750, 3.471375e-002,1.00000
 38.53300,577.83083, 3.471375e-002,1.00000
 38.52900,577.83417, 3.469963e-002,1.00000
 38.52700,577.83750, 3.469963e-002,1.00000
 38.52300,577.84083, 3.469963e-002,1.00000
 38.51900,577.84417, 3.471375e-002,1.00000
 38.51500,577.84750, 3.461485e-002,1.00000
 38.51100,577.85083, 3.457247e-002,1.00000
 38.50600,577.85417, 3.454421e-002,1.00000
 38.50100,577.85750, 3.453008e-002,1.00000
 38.49800,577.86083, 3.445944e-002,1.00000
 38.49200,577.86417, 3.437467e-002,1.00000
 38.48800,577.86750, 3.433228e-002,1.00000
 38.48800,577.87083, 3.431816e-002,1.00000
 38.48200,577.87417, 3.436054e-002,1.00000
 38.47900,577.87750, 3.434641e-002,1.00000
 38.47400,577.88083, 3.426164e-002,1.00000
 38.47000,577.88417, 3.421926e-002,1.00000
 38.46800,577.88750, 3.419100e-002,1.00000
 38.46300,577.89083, 3.419100e-002,1.00000
 38.46200,577.89417, 3.417687e-002,1.00000
 38.45600,577.89750, 3.427577e-002,1.00000
 38.45300,577.90083, 3.427577e-002,1.00000
 38.45000,577.90417, 3.426164e-002,1.00000
 38.44400,577.90750, 3.427577e-002,1.00000
 38.44200,577.91083, 3.428990e-002,1.00000
 38.43700,577.91417, 3.417687e-002,1.00000
 38.43500,577.91750, 3.410623e-002,1.00000
