#EXPORTTYPE:                 ,DATA SINGLE                     
#FILE:                       ,Correction-PtRh+Y2O3-3_3.ngb-bd9
#FORMAT:                     ,NETZSCH5                        
#FTYPE:                      ,ANSI                            
#IDENTITY:                   ,Corr3-3                         
#DECIMAL:                    ,POINT                           
#SEPARATOR:                  ,COMMA                           
#MTYPE:                      ,DSC                             
#INSTRUMENT:                 ,NETZSCH DSC 404F3               
#PROJECT:                    ,NRL-Ti                          
#DATE/TIME:                  ,9/2/2020 8:39:20 AM (UTC-4)     
#CORR. FILE:                 ,                                
#TEMPCAL:                    ,TCALZERO.TMX                    
#SENSITIVITY:                ,SENSZERO.EXX                    
#LABORATORY:                 ,Short Lab                       
#OPERATOR:                   ,CH                              
#REMARK:                     ,                                
#SAMPLE:                     ,PtRh+Y2O3                       
#SAMPLE MASS /mg:            ,0                               
#MATERIAL:                   ,NA                              
#REFERENCE:                  ,PtRh+Y2O3                       
#REFERENCE MASS /mg:         ,0                               
#TYPE OF CRUCIBLE:           ,DSC/TG pan Pt-Rh                
#SAMPLE CRUCIBLE MASS /mg:   ,427.2                           
#REFERENCE CRUCIBLE MASS /mg:,460.8                           
#PROTECTIVE GAS:             ,ARGON                           
#FLOW RATE /(ml/min):        ,50                              
#PURGE GAS 1:                ,<no gas>                        
#FLOW RATE 1:                ,                                
#PURGE GAS 2:                ,ARGON                           
#FLOW RATE 2 /(ml/min):      ,50                              
#M.RANGE /µV:                ,5000                            
#TAU-R:                      ,---                             
#CORR. CODE:                 ,000                             
#EXO:                        ,+1                              
#RANGE:                      ,20°C/50.0(K/min)/1000°C         
#SEGMENT:                    ,S13/24                          
#SEG. 13:                    ,20°C/50.0(K/min)/1000°C         

##Temp./°C,Time/min,DSC/uV,Sensit./(uV/mW)
 37.89100,282.01417,       5.98526,1.00000
 37.88800,282.01750,       5.98374,1.00000
 37.88400,282.02083,       5.98221,1.00000
 37.87900,282.02417,       5.98297,1.00000
 37.87600,282.02750,       5.98221,1.00000
 37.87300,282.03083,       5.98145,1.00000
 37.86500,282.03417,       5.98145,1.00000
 37.86100,282.03750,       5.98145,1.00000
 37.85900,282.04083,       5.98068,1.00000
 37.85300,282.04417,       5.97916,1.00000
 37.84900,282.04750,       5.97763,1.00000
 37.84500,282.05083,       5.97534,1.00000
 37.84200,282.05417,       5.97382,1.00000
 37.83700,282.05750,       5.96543,1.00000
 37.83400,282.06083,       5.96314,1.00000
 37.83000,282.06417,       5.96237,1.00000
 37.82700,282.06750,       5.96161,1.00000
 37.82100,282.07083,       5.95932,1.00000
 37.81700,282.07417,       5.95703,1.00000
 37.81500,282.07750,       5.95627,1.00000
 37.81000,282.08083,       5.95474,1.00000
 37.80500,282.08417,       5.95246,1.00000
 37.80100,282.08750,       5.95017,1.00000
 37.79600,282.09083,       5.94864,1.00000
 37.79200,282.09417,       5.94483,1.00000
 37.78800,282.09750,       5.94101,1.00000
 37.78500,282.10083,       5.93949,1.00000
 37.78000,282.10417,       5.93872,1.00000
 37.77900,282.10750,       5.93872,1.00000
 37.77500,282.11083,       5.93720,1.00000
 37.77200,282.11417,       5.93186,1.00000
 37.76800,282.11750,       5.92804,1.00000
 37.76000,282.12083,       5.92652,1.00000
 37.75800,282.12417,       5.92346,1.00000
 37.75300,282.12750,       5.92118,1.00000
 37.75400,282.13083,       5.91583,1.00000
 37.74700,282.13417,       5.90744,1.00000
 37.74300,282.13750,       5.90134,1.00000
 37.74200,282.14083,       5.89524,1.00000
 37.73700,282.14417,       5.88837,1.00000
 37.73300,282.14750,       5.88227,1.00000
 37.73000,282.15083,       5.87845,1.00000
 37.72400,282.15417,       5.87235,1.00000
 37.72200,282.15750,       5.86624,1.00000
 37.71800,282.16083,       5.86090,1.00000
 37.71600,282.16417,       5.85327,1.00000
 37.71200,282.16750,       5.84488,1.00000
 37.71100,282.17083,       5.83878,1.00000
 37.70600,282.17417,       5.83267,1.00000
 37.70200,282.17750,       5.82810,1.00000
 37.69700,282.18083,       5.82276,1.00000
 37.69500,282.18417,       5.81665,1.00000
 37.69200,282.18750,       5.80902,1.00000
 37.68900,282.19083,       5.80139,1.00000
 37.68200,282.19417,       5.79300,1.00000
 37.68000,282.19750,       5.78461,1.00000
 37.67600,282.20083,       5.77545,1.00000
 37.67400,282.20417,       5.76706,1.00000
 37.67200,282.20750,       5.75867,1.00000
 37.66900,282.21083,       5.74799,1.00000
 37.66500,282.21417,       5.73349,1.00000
 37.66200,282.21750,       5.71900,1.00000
 37.65800,282.22083,       5.70450,1.00000
 37.65600,282.22417,       5.69000,1.00000
 37.65000,282.22750,       5.67627,1.00000
 37.65100,282.23083,       5.66101,1.00000
 37.64700,282.23417,       5.64575,1.00000
 37.64600,282.23750,       5.63202,1.00000
 37.64300,282.24083,       5.61905,1.00000
 37.63800,282.24417,       5.60532,1.00000
 37.63700,282.24750,       5.59235,1.00000
 37.63400,282.25083,       5.57709,1.00000
 37.62900,282.25417,       5.56183,1.00000
 37.63000,282.25750,       5.54657,1.00000
 37.62700,282.26083,       5.52979,1.00000
 37.62500,282.26417,       5.51224,1.00000
