#EXPORTTYPE:                 ,DATA SINGLE                     
#FILE:                       ,Correction-PtRh+Y2O3-3_7.ngb-bd9
#FORMAT:                     ,NETZSCH5                        
#FTYPE:                      ,ANSI                            
#IDENTITY:                   ,Corr3-7                         
#DECIMAL:                    ,POINT                           
#SEPARATOR:                  ,COMMA                           
#MTYPE:                      ,DSC                             
#INSTRUMENT:                 ,NETZSCH DSC 404F3               
#PROJECT:                    ,NRL-Ti                          
#DATE/TIME:                  ,9/9/2020 8:33:37 AM (UTC-4)     
#CORR. FILE:                 ,                                
#TEMPCAL:                    ,TCALZERO.TMX                    
#SENSITIVITY:                ,SENSZERO.EXX                    
#LABORATORY:                 ,Short Lab                       
#OPERATOR:                   ,CH                              
#REMARK:                     ,                                
#SAMPLE:                     ,PtRh+Y2O3                       
#SAMPLE MASS /mg:            ,0                               
#MATERIAL:                   ,NA                              
#REFERENCE:                  ,PtRh+Y2O3                       
#REFERENCE MASS /mg:         ,0                               
#TYPE OF CRUCIBLE:           ,DSC/TG pan Pt-Rh                
#SAMPLE CRUCIBLE MASS /mg:   ,427.2                           
#REFERENCE CRUCIBLE MASS /mg:,460.7                           
#PROTECTIVE GAS:             ,ARGON                           
#FLOW RATE /(ml/min):        ,50                              
#PURGE GAS 1:                ,<no gas>                        
#FLOW RATE 1:                ,                                
#PURGE GAS 2:                ,ARGON                           
#FLOW RATE 2 /(ml/min):      ,50                              
#M.RANGE /µV:                ,5000                            
#TAU-R:                      ,---                             
#CORR. CODE:                 ,000                             
#EXO:                        ,+1                              
#RANGE:                      ,20°C/50.0(K/min)/600°C          
#SEGMENT:                    ,S7/24                           
#SEG. 7:                     ,20°C/50.0(K/min)/600°C          

##Temp./°C,Time/min,DSC/uV,Sensit./(uV/mW)
 37.08200,140.80583,       6.55594,1.00000
 37.07800,140.80917,       6.55441,1.00000
 37.07500,140.81250,       6.55213,1.00000
 37.07200,140.81583,       6.54984,1.00000
 37.06700,140.81917,       6.54755,1.00000
 37.06400,140.82250,       6.54526,1.00000
 37.06000,140.82583,       6.54297,1.00000
 37.05600,140.82917,       6.54144,1.00000
 37.05000,140.83250,       6.53992,1.00000
 37.04700,140.83583,       6.53839,1.00000
 37.04300,140.83917,       6.53687,1.00000
 37.03600,140.84250,       6.53687,1.00000
 37.03400,140.84583,       6.53610,1.00000
 37.03200,140.84917,       6.53305,1.00000
 37.02700,140.85250,       6.53229,1.00000
 37.02200,140.85583,       6.53153,1.00000
 37.01800,140.85917,       6.52771,1.00000
 37.01300,140.86250,       6.52237,1.00000
 37.01100,140.86583,       6.51932,1.00000
 37.00700,140.86917,       6.51856,1.00000
 37.00300,140.87250,       6.51856,1.00000
 36.99900,140.87583,       6.52008,1.00000
 36.99400,140.87917,       6.52085,1.00000
 36.99000,140.88250,       6.52008,1.00000
 36.98800,140.88583,       6.51550,1.00000
 36.98300,140.88917,       6.51169,1.00000
 36.97600,140.89250,       6.50788,1.00000
 36.97400,140.89583,       6.50482,1.00000
 36.97200,140.89917,       6.50406,1.00000
 36.96800,140.90250,       6.50253,1.00000
 36.96200,140.90583,       6.50101,1.00000
 36.95800,140.90917,       6.49948,1.00000
 36.95400,140.91250,       6.49643,1.00000
 36.95100,140.91583,       6.49033,1.00000
 36.94800,140.91917,       6.48651,1.00000
 36.94300,140.92250,       6.48346,1.00000
 36.93900,140.92583,       6.48041,1.00000
 36.93600,140.92917,       6.47736,1.00000
 36.93200,140.93250,       6.47278,1.00000
 36.93100,140.93583,       6.46668,1.00000
