#EXPORTTYPE:                 ,DATA SINGLE                     
#FILE:                       ,Correction-PtRh+Y2O3-3_8.ngb-bd9
#FORMAT:                     ,NETZSCH5                        
#FTYPE:                      ,ANSI                            
#IDENTITY:                   ,Corr3-8                         
#DECIMAL:                    ,POINT                           
#SEPARATOR:                  ,COMMA                           
#MTYPE:                      ,DSC                             
#INSTRUMENT:                 ,NETZSCH DSC 404F3               
#PROJECT:                    ,NRL-Ti                          
#DATE/TIME:                  ,9/10/2020 9:23:31 AM (UTC-4)    
#CORR. FILE:                 ,                                
#TEMPCAL:                    ,TCALZERO.TMX                    
#SENSITIVITY:                ,SENSZERO.EXX                    
#LABORATORY:                 ,Short Lab                       
#OPERATOR:                   ,CH                              
#REMARK:                     ,                                
#SAMPLE:                     ,PtRh+Y2O3                       
#SAMPLE MASS /mg:            ,0                               
#MATERIAL:                   ,NA                              
#REFERENCE:                  ,PtRh+Y2O3                       
#REFERENCE MASS /mg:         ,0                               
#TYPE OF CRUCIBLE:           ,DSC/TG pan Pt-Rh                
#SAMPLE CRUCIBLE MASS /mg:   ,427.3                           
#REFERENCE CRUCIBLE MASS /mg:,460.7                           
#PROTECTIVE GAS:             ,ARGON                           
#FLOW RATE /(ml/min):        ,50                              
#PURGE GAS 1:                ,<no gas>                        
#FLOW RATE 1:                ,                                
#PURGE GAS 2:                ,ARGON                           
#FLOW RATE 2 /(ml/min):      ,50                              
#M.RANGE /µV:                ,5000                            
#TAU-R:                      ,---                             
#CORR. CODE:                 ,000                             
#EXO:                        ,+1                              
#RANGE:                      ,20°C/50.0(K/min)/600°C          
#SEGMENT:                    ,S7/24                           
#SEG. 7:                     ,20°C/50.0(K/min)/600°C          

##Temp./°C,Time/min,DSC/uV,Sensit./(uV/mW)
 39.04800,140.80750,       7.36313,1.00000
 39.04100,140.81083,       7.36008,1.00000
 39.04000,140.81417,       7.35703,1.00000
 39.03600,140.81750,       7.35398,1.00000
 39.03200,140.82083,       7.35169,1.00000
 39.02800,140.82417,       7.35016,1.00000
 39.02200,140.82750,       7.34787,1.00000
 39.01800,140.83083,       7.34482,1.00000
 39.01600,140.83417,       7.34253,1.00000
 39.00900,140.83750,       7.33948,1.00000
 39.00800,140.84083,       7.33719,1.00000
 39.00300,140.84417,       7.33643,1.00000
 38.99800,140.84750,       7.33795,1.00000
 38.99100,140.85083,       7.33948,1.00000
 38.98800,140.85417,       7.33948,1.00000
 38.98500,140.85750,       7.33795,1.00000
 38.98100,140.86083,       7.33643,1.00000
 38.97900,140.86417,       7.33414,1.00000
 38.97600,140.86750,       7.33185,1.00000
 38.96800,140.87083,       7.33109,1.00000
 38.96700,140.87417,       7.32956,1.00000
 38.96500,140.87750,       7.32727,1.00000
 38.95600,140.88083,       7.32498,1.00000
 38.95400,140.88417,       7.32193,1.00000
 38.95000,140.88750,       7.31888,1.00000
 38.94700,140.89083,       7.31659,1.00000
 38.94400,140.89417,       7.31354,1.00000
 38.94000,140.89750,       7.30515,1.00000
 38.93600,140.90083,       7.30057,1.00000
 38.93200,140.90417,       7.29752,1.00000
 38.92700,140.90750,       7.29294,1.00000
 38.92300,140.91083,       7.28836,1.00000
 38.91900,140.91417,       7.28455,1.00000
 38.91700,140.91750,       7.27844,1.00000
 38.91100,140.92083,       7.27616,1.00000
 38.90700,140.92417,       7.27234,1.00000
 38.90400,140.92750,       7.26853,1.00000
 38.90000,140.93083,       7.26395,1.00000
 38.89700,140.93417,       7.26013,1.00000
 38.89400,140.93750,       7.25403,1.00000
 38.89000,140.94083,       7.24716,1.00000
 38.88700,140.94417,       7.24182,1.00000
 38.88500,140.94750,       7.23725,1.00000
 38.87900,140.95083,       7.23191,1.00000
 38.87700,140.95417,       7.22504,1.00000
 38.87100,140.95750,       7.21970,1.00000
 38.86900,140.96083,       7.21359,1.00000
 38.86400,140.96417,       7.20749,1.00000
