#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,Correction-PtRh+Y2O3-2.ngb-bd9
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Correction-2                  
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,DSC                           
#INSTRUMENT:                 ,NETZSCH DSC 404F3             
#PROJECT:                    ,NRL-Ti                        
#DATE/TIME:                  ,5/14/2020 8:21:42 AM (UTC-4)  
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TMX                  
#SENSITIVITY:                ,SENSZERO.EXX                  
#LABORATORY:                 ,Short Lab                     
#OPERATOR:                   ,CH                            
#REMARK:                     ,                              
#SAMPLE:                     ,PtRh+Y2O3                     
#SAMPLE MASS /mg:            ,0                             
#MATERIAL:                   ,NA                            
#REFERENCE:                  ,PtRh+Y2O3                     
#REFERENCE MASS /mg:         ,0                             
#TYPE OF CRUCIBLE:           ,DSC/TG pan Pt-Rh              
#SAMPLE CRUCIBLE MASS /mg:   ,427.3                         
#REFERENCE CRUCIBLE MASS /mg:,443.1                         
#PROTECTIVE GAS:             ,ARGON                         
#FLOW RATE /(ml/min):        ,50                            
#PURGE GAS 1:                ,<no gas>                      
#FLOW RATE 1:                ,                              
#PURGE GAS 2:                ,ARGON                         
#FLOW RATE 2 /(ml/min):      ,50                            
#M.RANGE /µV:                ,5000                          
#TAU-R:                      ,---                           
#CORR. CODE:                 ,000                           
#EXO:                        ,+1                            
#RANGE:                      ,20°C/50.0(K/min)/600°C        
#SEGMENT:                    ,S4/24                         
#SEG. 4:                     ,20°C/50.0(K/min)/600°C        

##Temp./°C,Time/min,DSC/uV,Sensit./(uV/mW)
 43.18200,70.12083,       3.13263,1.00000
 43.17500,70.12417,       3.13187,1.00000
 43.17300,70.12750,       3.13110,1.00000
 43.16900,70.13083,       3.13110,1.00000
 43.16300,70.13417,       3.13034,1.00000
 43.15900,70.13750,       3.12882,1.00000
 43.15500,70.14083,       3.12882,1.00000
 43.15000,70.14417,       3.12882,1.00000
 43.14500,70.14750,       3.12882,1.00000
 43.14200,70.15083,       3.12805,1.00000
 43.13800,70.15417,       3.12805,1.00000
 43.13500,70.15750,       3.12805,1.00000
 43.12900,70.16083,       3.12729,1.00000
 43.12500,70.16417,       3.12653,1.00000
 43.12100,70.16750,       3.12576,1.00000
 43.11800,70.17083,       3.12271,1.00000
 43.11200,70.17417,       3.12119,1.00000
 43.10900,70.17750,       3.12271,1.00000
 43.10300,70.18083,       3.12271,1.00000
 43.09900,70.18417,       3.12119,1.00000
 43.09700,70.18750,       3.12042,1.00000
 43.09400,70.19083,       3.12119,1.00000
 43.08800,70.19417,       3.12119,1.00000
 43.08200,70.19750,       3.12119,1.00000
 43.07800,70.20083,       3.12042,1.00000
 43.07400,70.20417,       3.11737,1.00000
 43.07300,70.20750,       3.11279,1.00000
 43.06800,70.21083,       3.11127,1.00000
 43.06100,70.21417,       3.10898,1.00000
 43.05700,70.21750,       3.10745,1.00000
 43.05400,70.22083,       3.10593,1.00000
 43.05100,70.22417,       3.10364,1.00000
 43.04600,70.22750,       3.09982,1.00000
 43.04300,70.23083,       3.09677,1.00000
 43.03800,70.23417,       3.09448,1.00000
 43.03400,70.23750,       3.09219,1.00000
 43.02900,70.24083,       3.08991,1.00000
 43.02600,70.24417,       3.08685,1.00000
 43.02100,70.24750,       3.08380,1.00000
 43.01900,70.25083,       3.07999,1.00000
 43.01500,70.25417,       3.07770,1.00000
 43.00900,70.25750,       3.07388,1.00000
 43.00500,70.26083,       3.06702,1.00000
 43.00000,70.26417,       3.06244,1.00000
 42.99900,70.26750,       3.05710,1.00000
 42.99400,70.27083,       3.05176,1.00000
 42.99300,70.27417,       3.04871,1.00000
 42.98900,70.27750,       3.04489,1.00000
 42.98400,70.28083,       3.03879,1.00000
 42.98200,70.28417,       3.03192,1.00000
 42.97700,70.28750,       3.02582,1.00000
 42.97300,70.29083,       3.01895,1.00000
 42.97200,70.29417,       3.01056,1.00000
 42.96800,70.29750,       3.00293,1.00000
 42.96500,70.30083,       2.99606,1.00000
 42.96000,70.30417,       2.98920,1.00000
 42.95700,70.30750,       2.98233,1.00000
 42.95400,70.31083,       2.97699,1.00000
 42.95000,70.31417,       2.97089,1.00000
 42.94600,70.31750,       2.96249,1.00000
 42.94300,70.32083,       2.95258,1.00000
 42.93800,70.32417,       2.94190,1.00000
 42.93600,70.32750,       2.92969,1.00000
 42.93600,70.33083,       2.91824,1.00000
 42.93000,70.33417,       2.90299,1.00000
 42.92600,70.33750,       2.89307,1.00000
 42.92300,70.34083,       2.88239,1.00000
 42.92100,70.34417,       2.87094,1.00000
 42.91900,70.34750,       2.86026,1.00000
 42.91600,70.35083,       2.85111,1.00000
 42.91300,70.35417,       2.84042,1.00000
 42.91100,70.35750,       2.82898,1.00000
 42.91000,70.36083,       2.81677,1.00000
 42.90700,70.36417,       2.80304,1.00000
 42.90500,70.36750,       2.79007,1.00000
 42.89800,70.37083,       2.77481,1.00000
