#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,UA2-2_1-50Kmin-PtY2O3.ngb-dd9 
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,UA2-1                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,DSC                           
#INSTRUMENT:                 ,NETZSCH DSC 404F3             
#PROJECT:                    ,NRL-Ti                        
#DATE/TIME:                  ,8/19/2020 9:30:35 AM (UTC-4)  
#CORR. FILE:                 ,Correction-PtRh+Y2O3-3.ngb-bd9
#TEMPCAL:                    ,TCALZERO.TMX                  
#SENSITIVITY:                ,SENSZERO.EXX                  
#LABORATORY:                 ,Short Lab                     
#OPERATOR:                   ,CH                            
#REMARK:                     ,                              
#SAMPLE:                     ,PtRh+Y2O3                     
#SAMPLE MASS /mg:            ,99.4                          
#MATERIAL:                   ,NA                            
#REFERENCE:                  ,PtRh+Y2O3                     
#REFERENCE MASS /mg:         ,0                             
#TYPE OF CRUCIBLE:           ,DSC/TG pan Pt-Rh              
#SAMPLE CRUCIBLE MASS /mg:   ,427.7                         
#REFERENCE CRUCIBLE MASS /mg:,460.1                         
#PROTECTIVE GAS:             ,ARGON                         
#FLOW RATE /(ml/min):        ,50                            
#PURGE GAS 1:                ,<no gas>                      
#FLOW RATE 1:                ,                              
#PURGE GAS 2:                ,ARGON                         
#FLOW RATE 2 /(ml/min):      ,50                            
#M.RANGE /µV:                ,5000                          
#TAU-R:                      ,---                           
#CORR. CODE:                 ,020                           
#EXO:                        ,+1                            
#RANGE:                      ,20°C/50.0(K/min)/1000°C       
#SEGMENT:                    ,S22/24                        
#SEG. 22:                    ,20°C/50.0(K/min)/1000°C       

##Temp./°C,Time/min,DSC/(uV/mg),Sensit./(uV/mW)
 36.15000,577.81917, 3.842330e-002,1.00000
 36.14800,577.82250, 3.843865e-002,1.00000
 36.14100,577.82583, 3.846168e-002,1.00000
 36.13700,577.82917, 3.844632e-002,1.00000
 36.13500,577.83250, 3.842330e-002,1.00000
 36.12900,577.83583, 3.839260e-002,1.00000
 36.12700,577.83917, 3.836957e-002,1.00000
 36.12100,577.84250, 3.834654e-002,1.00000
 36.11700,577.84583, 3.832352e-002,1.00000
 36.11400,577.84917, 3.830049e-002,1.00000
 36.10900,577.85250, 3.826979e-002,1.00000
 36.10600,577.85583, 3.823141e-002,1.00000
 36.10200,577.85917, 3.822374e-002,1.00000
 36.09700,577.86250, 3.820071e-002,1.00000
 36.09300,577.86583, 3.820071e-002,1.00000
 36.08900,577.86917, 3.820839e-002,1.00000
 36.08500,577.87250, 3.819303e-002,1.00000
 36.08300,577.87583, 3.817768e-002,1.00000
 36.07700,577.87917, 3.818536e-002,1.00000
 36.07300,577.88250, 3.820839e-002,1.00000
 36.07000,577.88583, 3.822374e-002,1.00000
 36.06400,577.88917, 3.817768e-002,1.00000
 36.06200,577.89250, 3.813931e-002,1.00000
 36.05900,577.89583, 3.812396e-002,1.00000
 36.05500,577.89917, 3.812396e-002,1.00000
 36.05100,577.90250, 3.812396e-002,1.00000
 36.04800,577.90583, 3.813163e-002,1.00000
 36.04400,577.90917, 3.810861e-002,1.00000
 36.04000,577.91250, 3.809325e-002,1.00000
 36.03400,577.91583, 3.808558e-002,1.00000
 36.03300,577.91917, 3.808558e-002,1.00000
 36.02800,577.92250, 3.810861e-002,1.00000
 36.02500,577.92583, 3.808558e-002,1.00000
 36.01800,577.92917, 3.807023e-002,1.00000
 36.01700,577.93250, 3.807790e-002,1.00000
 36.01200,577.93583, 3.809325e-002,1.00000
 36.00800,577.93917, 3.808558e-002,1.00000
 36.00600,577.94250, 3.806255e-002,1.00000
 36.00000,577.94583, 3.801650e-002,1.00000
 35.99900,577.94917, 3.798580e-002,1.00000
 35.99400,577.95250, 3.795510e-002,1.00000
 35.99200,577.95583, 3.793207e-002,1.00000
 35.98600,577.95917, 3.793207e-002,1.00000
 35.98400,577.96250, 3.791672e-002,1.00000
 35.98100,577.96583, 3.790137e-002,1.00000
 35.97500,577.96917, 3.787067e-002,1.00000
 35.97400,577.97250, 3.786300e-002,1.00000
 35.97000,577.97583, 3.784764e-002,1.00000
 35.96800,577.97917, 3.785532e-002,1.00000
 35.96300,577.98250, 3.782462e-002,1.00000
 35.95900,577.98583, 3.777857e-002,1.00000
 35.95600,577.98917, 3.773251e-002,1.00000
 35.95000,577.99250, 3.769414e-002,1.00000
 35.94900,577.99583, 3.768646e-002,1.00000
 35.94800,577.99917, 3.765576e-002,1.00000
 35.94100,578.00250, 3.764808e-002,1.00000
 35.94000,578.00583, 3.764041e-002,1.00000
 35.93600,578.00917, 3.760203e-002,1.00000
 35.93000,578.01250, 3.756365e-002,1.00000
 35.92900,578.01583, 3.754830e-002,1.00000
 35.92600,578.01917, 3.754063e-002,1.00000
 35.92200,578.02250, 3.751760e-002,1.00000
 35.92000,578.02583, 3.747155e-002,1.00000
 35.91500,578.02917, 3.737944e-002,1.00000
 35.91500,578.03250, 3.730269e-002,1.00000
 35.91200,578.03583, 3.727199e-002,1.00000
 35.90900,578.03917, 3.721058e-002,1.00000
 35.90300,578.04250, 3.716453e-002,1.00000
 35.90400,578.04583, 3.711848e-002,1.00000
 35.90100,578.04917, 3.707242e-002,1.00000
 35.89800,578.05250, 3.707242e-002,1.00000
 35.89300,578.05583, 3.709545e-002,1.00000
 35.89100,578.05917, 3.701870e-002,1.00000
 35.89000,578.06250, 3.696497e-002,1.00000
 35.88400,578.06583, 3.689589e-002,1.00000
 35.88300,578.06917, 3.683449e-002,1.00000
 35.88200,578.07250, 3.677308e-002,1.00000
 35.87800,578.07583, 3.670400e-002,1.00000
 35.88000,578.07917, 3.664260e-002,1.00000
 35.87400,578.08250, 3.655817e-002,1.00000
 35.87100,578.08583, 3.648909e-002,1.00000
 35.86900,578.08917, 3.645071e-002,1.00000
 35.86900,578.09250, 3.640466e-002,1.00000
 35.86600,578.09583, 3.635093e-002,1.00000
 35.86300,578.09917, 3.626650e-002,1.00000
 35.86100,578.10250, 3.619742e-002,1.00000
 35.86000,578.10583, 3.609764e-002,1.00000
 35.85800,578.10917, 3.599785e-002,1.00000
 35.85700,578.11250, 3.590575e-002,1.00000
 35.85600,578.11583, 3.582899e-002,1.00000
 35.85200,578.11917, 3.569851e-002,1.00000
 35.85000,578.12250, 3.562943e-002,1.00000
 35.85100,578.12583, 3.554500e-002,1.00000
 35.84800,578.12917, 3.547592e-002,1.00000
 35.84700,578.13250, 3.540684e-002,1.00000
 35.84700,578.13583, 3.531474e-002,1.00000
 35.84300,578.13917, 3.522263e-002,1.00000
 35.84200,578.14250, 3.514588e-002,1.00000
 35.84300,578.14583, 3.505378e-002,1.00000
 35.84200,578.14917, 3.493865e-002,1.00000
 35.84200,578.15250, 3.483119e-002,1.00000
 35.83600,578.15583, 3.474676e-002,1.00000
 35.83800,578.15917, 3.467000e-002,1.00000
 35.83600,578.16250, 3.457022e-002,1.00000
 35.83900,578.16583, 3.445509e-002,1.00000
 35.83700,578.16917, 3.432461e-002,1.00000
 35.83400,578.17250, 3.420948e-002,1.00000
 35.83200,578.17583, 3.407900e-002,1.00000
 35.83500,578.17917, 3.399457e-002,1.00000
 35.83400,578.18250, 3.383338e-002,1.00000
 35.83300,578.18583, 3.364917e-002,1.00000
 35.83100,578.18917, 3.348799e-002,1.00000
 35.83200,578.19250, 3.328842e-002,1.00000
 35.83000,578.19583, 3.308886e-002,1.00000
 35.83000,578.19917, 3.295838e-002,1.00000
 35.83000,578.20250, 3.282022e-002,1.00000
 35.83000,578.20583, 3.267439e-002,1.00000
 35.83100,578.20917, 3.252855e-002,1.00000
 35.83100,578.21250, 3.237505e-002,1.00000
 35.83100,578.21583, 3.216781e-002,1.00000
 35.83400,578.21917, 3.201430e-002,1.00000
 35.82900,578.22250, 3.186079e-002,1.00000
 35.83300,578.22583, 3.171496e-002,1.00000
 35.83300,578.22917, 3.156912e-002,1.00000
 35.83300,578.23250, 3.137724e-002,1.00000
 35.83500,578.23583, 3.118535e-002,1.00000
 35.83300,578.23917, 3.098579e-002,1.00000
 35.83700,578.24250, 3.077855e-002,1.00000
 35.83600,578.24583, 3.055596e-002,1.00000
 35.83900,578.24917, 3.035640e-002,1.00000
 35.84200,578.25250, 3.014917e-002,1.00000
 35.84100,578.25583, 3.001868e-002,1.00000
 35.84200,578.25917, 2.986518e-002,1.00000
 35.84600,578.26250, 2.965794e-002,1.00000
 35.84600,578.26583, 2.943535e-002,1.00000
 35.84700,578.26917, 2.922044e-002,1.00000
 35.85000,578.27250, 2.908228e-002,1.00000
 35.85000,578.27583, 2.893645e-002,1.00000
 35.85200,578.27917, 2.873688e-002,1.00000
 35.85600,578.28250, 2.849127e-002,1.00000
 35.85900,578.28583, 2.819960e-002,1.00000
 35.86000,578.28917, 2.792329e-002,1.00000
 35.86000,578.29250, 2.770070e-002,1.00000
 35.86100,578.29583, 2.745508e-002,1.00000
 35.86700,578.29917, 2.720947e-002,1.00000
 35.86700,578.30250, 2.697153e-002,1.00000
