#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,UR2-3_1-50Kmin-PtY2O3.ngb-dd9 
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,UR2-3                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,DSC                           
#INSTRUMENT:                 ,NETZSCH DSC 404F3             
#PROJECT:                    ,NRL-Ti                        
#DATE/TIME:                  ,6/30/2020 9:11:47 AM (UTC-4)  
#CORR. FILE:                 ,Correction-PtRh+Y2O3-3.ngb-bd9
#TEMPCAL:                    ,TCALZERO.TMX                  
#SENSITIVITY:                ,SENSZERO.EXX                  
#LABORATORY:                 ,Short Lab                     
#OPERATOR:                   ,CH                            
#REMARK:                     ,                              
#SAMPLE:                     ,PtRh+Y2O3                     
#SAMPLE MASS /mg:            ,119.8                         
#MATERIAL:                   ,NA                            
#REFERENCE:                  ,PtRh+Y2O3                     
#REFERENCE MASS /mg:         ,0                             
#TYPE OF CRUCIBLE:           ,DSC/TG pan Pt-Rh              
#SAMPLE CRUCIBLE MASS /mg:   ,427.3                         
#REFERENCE CRUCIBLE MASS /mg:,461.0                         
#PROTECTIVE GAS:             ,ARGON                         
#FLOW RATE /(ml/min):        ,50                            
#PURGE GAS 1:                ,<no gas>                      
#FLOW RATE 1:                ,                              
#PURGE GAS 2:                ,ARGON                         
#FLOW RATE 2 /(ml/min):      ,50                            
#M.RANGE /µV:                ,5000                          
#TAU-R:                      ,---                           
#CORR. CODE:                 ,020                           
#EXO:                        ,+1                            
#RANGE:                      ,20°C/50.0(K/min)/1000°C       
#SEGMENT:                    ,S13/24                        
#SEG. 13:                    ,20°C/50.0(K/min)/1000°C       

##Temp./°C,Time/min,DSC/(uV/mg),Sensit./(uV/mW)
 39.56800,282.01083, 7.603287e-002,1.00000
 39.56500,282.01417, 7.600739e-002,1.00000
 39.56100,282.01750, 7.598829e-002,1.00000
 39.55500,282.02083, 7.598192e-002,1.00000
 39.55000,282.02417, 7.596918e-002,1.00000
 39.54800,282.02750, 7.594371e-002,1.00000
 39.54400,282.03083, 7.591824e-002,1.00000
 39.54000,282.03417, 7.590550e-002,1.00000
 39.53500,282.03750, 7.588639e-002,1.00000
 39.52900,282.04083, 7.586092e-002,1.00000
 39.52500,282.04417, 7.584181e-002,1.00000
 39.52100,282.04750, 7.582271e-002,1.00000
 39.51600,282.05083, 7.579723e-002,1.00000
 39.51300,282.05417, 7.577813e-002,1.00000
 39.50900,282.05750, 7.577813e-002,1.00000
 39.50400,282.06083, 7.579087e-002,1.00000
 39.50200,282.06417, 7.578450e-002,1.00000
 39.49300,282.06750, 7.575902e-002,1.00000
 39.49100,282.07083, 7.574629e-002,1.00000
 39.48900,282.07417, 7.573355e-002,1.00000
 39.48200,282.07750, 7.571444e-002,1.00000
 39.47700,282.08083, 7.568260e-002,1.00000
 39.47500,282.08417, 7.565076e-002,1.00000
 39.47300,282.08750, 7.565076e-002,1.00000
 39.46600,282.09083, 7.563166e-002,1.00000
 39.46300,282.09417, 7.561892e-002,1.00000
 39.45900,282.09750, 7.559344e-002,1.00000
 39.45400,282.10083, 7.554887e-002,1.00000
 39.45100,282.10417, 7.550429e-002,1.00000
 39.44900,282.10750, 7.547244e-002,1.00000
 39.44200,282.11083, 7.544697e-002,1.00000
 39.43800,282.11417, 7.541513e-002,1.00000
 39.43200,282.11750, 7.543423e-002,1.00000
 39.43000,282.12083, 7.544697e-002,1.00000
 39.42500,282.12417, 7.544060e-002,1.00000
 39.42200,282.12750, 7.540876e-002,1.00000
